phi_LOS,f_D,f_D_dot,time
-6683343.33215699,21705.7816020781,-4.39968258235604,2
-6661642.02169061,21701.3104663799,-4.47113569825888,3
-6639945.2546433,21696.7670473112,-4.54341906867921,4
-6618253.10414469,21692.1504986081,-4.6165487030521,5
-6596565.64418237,21687.4599623205,-4.69053628761321,6
-6574882.94961569,21682.694566681,-4.76539563946426,7
-6553205.0961901,21677.8534255931,-4.84114108793437,8
-6531532.16055088,21672.9356392194,-4.91778637375683,9
-6509864.22025746,21667.940293422,-4.99534579738975,10
-6488201.35379851,21662.8664589459,-5.07383447606117,11
-6466543.64060634,21657.7131921686,-5.15326677728444,12
-6444891.16107256,21652.4795337869,-5.23365838173777,13
-6423243.99656159,21647.1645109691,-5.31502281781286,14
-6401602.22943195,21641.7671296364,-5.39738133270293,15
-6379965.94303909,21636.2863928564,-5.48073677998036,16
-6358335.22179483,21630.7212442663,-5.56514859013259,17
-6336710.15101814,21625.0707766879,-5.6504675783217,18
-6315090.81760351,21619.3334146291,-5.73736205883324,19
-6293477.30748884,21613.5101146717,-5.8232999574393,20
-6271869.73297404,21607.5745147998,-5.93559987191111,21
-6250268.14147884,21601.5914952019,-5.98301959782839,22
-6228672.64208856,21595.4993902743,-6.09210492763668,23
-6207083.32909386,21589.3129946999,-6.18639557436109,24
-6185500.29505506,21583.0340388073,-6.27895589265972,25
-6163923.63453043,21576.6605246272,-6.37351418007165,26
-6142353.44305372,21570.1914767055,-6.46904792170972,27
-6120789.81744829,21563.6256054342,-6.56587127130479,28
-6099232.85576512,21556.9616831681,-6.66392226610333,29
-6077682.65732573,21550.1984393867,-6.76324378140271,30
-6056139.32273958,21543.3345861556,-6.86385323107243,31
-6034602.95392466,21536.3688149154,-6.96577124018222,32
-6013073.65413152,21529.2997931438,-7.06902177166194,33
-5991551.52796514,21522.1261663819,-7.1736267618835,34
-5970036.68140829,21514.846556847,-7.27960953488946,35
-5948529.22184485,21507.4595634434,-7.38699340354651,36
-5927029.25808412,21499.963760728,-7.49580271542072,37
-5905536.90038554,21492.3576985756,-7.60606215242296,38
-5884052.26048305,21484.6399024921,-7.71779608353972,39
-5862575.4516114,21476.8088716557,-7.83103083632886,40
-5841106.5885319,21468.863079492,-7.94579216372222,41
-5819645.78755872,21460.8009731825,-8.06210630945861,42
-5798193.16658593,21452.6209727898,-8.1800003927201,43
-5776748.84511618,21444.3214697549,-8.29950303491205,44
-5755312.94428791,21435.9008282637,-8.4206414911896,45
-5733885.58690392,21427.3573839953,-8.54344426840544,46
-5712466.89746168,21418.689442236,-8.66794175934047,47
-5691057.00218275,21409.8952789363,-8.79416329972446,48
-5669656.0290433,21400.9731394462,-8.92213949002326,49
-5648264.10780575,21391.9212375488,-9.05190189741552,50
-5626881.37005014,21382.7377556087,-9.1834819400683,51
-5605507.94920682,21373.4208433228,-9.31691228598356,52
-5584143.98058988,21363.9686169373,-9.45222638547421,53
-5562789.60142902,21354.3791608633,-9.5894560739398,54
-5541444.95091254,21344.6505164793,-9.72864438407123,55
-5520110.1701919,21334.78072064,-9.86979583930224,56
-5498785.40253041,21324.7676614933,-10.0130591467023,57
-5477470.79291823,21314.609612179,-10.1580493142828,58
-5456166.48969988,21304.303218348,-10.306393831037,59
-5434872.63861504,21293.851084834,-10.4521335139871,60
-5413589.41614578,21283.22246926,-10.6286155739799,61
-5392316.93932407,21272.4768217141,-10.7456475459039,62
-5371055.37353323,21261.5657908376,-10.9110308764502,63
-5349804.88445057,21250.4890826587,-11.0767081789672,64
-5328565.63091804,21239.2535325335,-11.2355501251295,65
-5307337.77661347,21227.8543045726,-11.3992279609665,66
-5286121.48697294,21216.28964053,-11.5646640425548,67
-5264916.93008823,21204.5568847116,-11.7327558184043,68
-5243724.2765202,21192.6535680303,-11.9033166812733,69
-5222543.69940999,21180.5771102086,-12.0764578217641,70
-5201375.37450921,21168.3249007789,-12.2522094296291,71
-5180219.48023414,21155.8942750702,-12.4306257087737,72
-5159076.19771508,21143.2825190602,-12.611756009981,73
-5137945.71084855,21130.4868665235,-12.7956525366753,74
-5116828.20634839,21117.5045001665,-12.9823663569987,75
-5095723.87380088,21104.3325475045,-13.1719526620582,76
-5074632.90571779,21090.968083092,-13.3644644124433,77
-5053555.49759501,21077.4081227826,-13.5599603094161,78
-5032491.84796727,21063.6496277442,-13.7584950383753,79
-5011442.15846789,21049.6894993745,-13.9601283697411,80
-4990406.63388829,21035.5245796032,-14.1649197712541,81
-4969385.48223871,21021.1516495785,-14.3729300247505,82
-4948378.91481087,21006.5674278429,-14.5842217355967,83
