phi_LOS,f_D,f_D_dot,time
-6742612.38381927,18564.6515184892,-22.2057752478868,2
-6724070.18482073,18542.1989985453,-22.4525199439377,3
-6705550.63196822,18519.5528525095,-22.6461460357532,4
-6687053.92002071,18496.7119475072,-22.8409050023183,5
-6668580.30155066,18473.6184700448,-23.0934774624184,6
-6650129.97700804,18450.3245426221,-23.2939274227247,7
-6631703.14683962,18426.8301684232,-23.4943741988391,8
-6613300.06991841,18403.0769212041,-23.7532472191378,9
-6594920.95278653,18379.1171318805,-23.9597893236205,10
-6576566.02183779,18354.9309487483,-24.1861831322312,11
-6558235.48654355,18330.5352942394,-24.395654508844,12
-6539929.61366789,18305.8728756607,-24.6624185787514,13
-6521648.62026613,18280.9934017574,-24.8794739032164,14
-6503392.72106621,18255.8991999142,-25.0942018432543,15
-6485162.18961797,18230.5314482413,-25.367751672864,16
-6466957.25031942,18204.9392985534,-25.5921496879309,17
-6448778.12439542,18179.1259239987,-25.8133745547384,18
-6430625.0920609,18153.0323345196,-26.0935894791037,19
-6412498.38535565,18126.7067052554,-26.3256292641163,20
-6394398.23220011,18100.1531555392,-26.5535497162491,21
-6376324.91966719,18073.3125329157,-26.8406226234511,22
-6358278.68765113,18046.2320160624,-27.0805168533698,23
-6340259.77099814,18018.9166529905,-27.3153630718589,24
-6322268.46382007,17991.3071780689,-27.609474921599,25
-6304305.01412361,17963.449696457,-27.8574816118926,26
-6286369.66375668,17935.3503669295,-28.0993295274675,27
-6268462.71466603,17906.949090654,-28.4012762755156,28
-6250584.42088331,17878.2937827222,-28.6553079318255,29
-6232735.05348737,17849.3673959402,-28.9263867819682,30
-6214914.86743658,17820.1860507848,-29.1813451554626,31
-6197124.17322156,17790.694215022,-29.4918357627466,32
-6179363.23874924,17760.9344723206,-29.7597427014261,33
-6161632.32357132,17730.9151779236,-30.0192943969741,34
-6143931.74675755,17700.5768137686,-30.3383641550317,35
-6126261.78479767,17669.9619598761,-30.6148538924754,36
-6108622.70526564,17639.079532031,-30.8824278451502,37
-6091014.83513571,17607.8701299308,-31.2094021001831,38
-6073438.4599552,17576.3751805052,-31.4949494255707,39
-6055893.8554999,17544.6044553015,-31.770725203678,40
-6038381.3568767,17512.4986232026,-32.1058320989832,41
-6020901.25892197,17480.0979547305,-32.4006684720516,42
-6003453.84585815,17447.4130638139,-32.684890916571,43
-5986039.46114408,17414.3847140754,-33.0283497385681,44
-5968658.40913151,17381.0520125683,-33.3327015070245,45
-5951310.98275196,17347.4263795558,-33.6256330125034,46
-5933997.53400828,17313.4487436712,-33.9776358846575,47
-5916718.37707163,17279.1569366511,-34.2918070200831,48
-5899473.81358997,17244.5634816587,-34.5934549923986,49
-5882264.20523924,17209.6083507314,-34.9551309272647,50
-5865089.87280896,17174.332430278,-35.2759204534814,51
-5847951.14973576,17138.7230732059,-35.6093570720404,52
-5830848.35580262,17102.793933142,-35.929140063934,53
-5813781.86235311,17066.4934495063,-36.3004836356267,54
-5796752.00757836,17029.8547747489,-36.6386747574434,55
-5779759.11512259,16992.8924557697,-36.9623189792037,56
-5762803.56715583,16955.5479667578,-37.3444890119135,57
-5745885.71198228,16917.855173558,-37.6927931997925,58
-5729005.88315595,16879.828826325,-38.0263472329825,59
