phi_LOS,f_D,f_D_dot,time
-8729585.72869158,18606.7634673603,-12.3452459424734,2
-8710991.44863903,18594.2800525427,-12.4834148176014,3
-8692409.71641534,18581.7322236933,-12.5478288494051,4
-8673840.67128016,18569.0451351814,-12.6870885118842,5
-8655284.39841676,18556.2728633955,-12.7722717858851,6
-8636740.9825993,18543.4158174582,-12.8570459373295,7
-8618210.56545251,18530.4171467926,-12.9986706655473,8
-8599693.23486263,18517.3305898774,-13.0865569151938,9
-8581189.07752359,18504.1573390495,-13.1732508279383,10
-8562698.23795459,18490.8395689987,-13.3177700508386,11
-8544220.78715367,18477.4508009125,-13.3887680862099,12
-8525756.8698584,18463.9172952771,-13.533505635336,13
-8507306.57886282,18450.2909955774,-13.6262996997684,14
-8488870.0043052,18436.5745576192,-13.7164379581809,15
-8470447.2948985,18422.7094066981,-13.8651509210467,16
-8452038.52601041,18408.7688880973,-13.9405186008662,17
-8433643.8459963,18394.6800141037,-14.0888739936054,18
-8415263.35263231,18380.4933639914,-14.1866501122713,19
-8396897.13973591,18366.2128963973,-14.2804675940424,20
-8378545.3603481,18351.7793878131,-14.4335085842758,21
-8360208.09442513,18337.2659229739,-14.5134648391977,22
-8341885.49411789,18322.6003072355,-14.6656157383695,23
-8323577.6622814,18307.83183649,-14.7684707455337,24
-8305284.69699635,18292.9652850553,-14.8665514346212,25
-8287006.75432993,18277.9426664133,-15.0226186420768,26
-8268743.93998735,18262.8143425789,-15.1283238343894,27
-8250496.35423952,18247.5857478362,-15.2285947427154,28
-8232264.15732153,18232.1969179837,-15.3888298524544,29
-8214047.43704855,18216.7202729816,-15.4766450021416,30
-8195846.351907,18201.0851415517,-15.6351314298809,31
-8177661.01355148,18185.338355517,-15.746786034666,32
-8159491.52636859,18169.487182891,-15.8511726260185,33
-8141338.05535925,18153.4710093411,-16.0161735499278,34
-8123200.69353636,18137.3618228948,-16.1091864462942,35
-8105079.60362064,18121.0899157142,-16.2719071805477,36
-8086974.90284406,18104.7007765835,-16.3891391307116,37
-8068886.70059991,18088.2022441523,-16.4985324312001,38
-8050815.16473171,18071.5358682005,-16.6663759518415,39
-8032760.41544138,18054.749290322,-16.7865778785199,40
-8014722.56457718,18037.8508642018,-16.8984261201695,41
-7996701.78500594,18020.7795712398,-17.0712929619476,42
-7978698.17863374,18003.606372199,-17.1731990408152,43
-7960711.91523906,17986.2633946827,-17.3429775163531,44
-7942743.12179877,17968.793440287,-17.4699543956667,45
-7924791.91481996,17951.2069788165,-17.5864614704624,46
-7906858.47241552,17933.4424044369,-17.7645743796602,47
-7888942.90234559,17915.5700699249,-17.8723345119506,48
-7871045.37912812,17897.523217475,-18.0468524498865,49
-7853166.03585821,17879.3432699116,-18.1799475634471,50
-7835304.99483526,17861.0410229433,-18.3022469682619,51
-7817462.43696614,17842.5578691205,-18.4831538228318,52
-7799638.49846056,17823.9385055881,-18.6193635324016,53
-7781833.30438682,17805.1940737413,-18.7444318467751,54
-7764047.04148564,17786.2629011702,-18.931172571145,55
-7746279.82751823,17767.2139674108,-19.0489337593317,56
-7728531.84488239,17747.9826358436,-19.23133156728,57
-7710803.23743257,17728.6074498249,-19.3751860186458,58
-7693094.1355018,17709.1019307664,-19.5055190585554,59
-7675404.73160589,17689.403895909,-19.6980348573998,60
-7657735.15007968,17669.5815262087,-19.8223697002977,61
-7640085.5785666,17649.5715130819,-20.0100131267682,62
-7622456.16785114,17629.4107154608,-20.1607976211235,63
-7604847.05406493,17609.1137862084,-20.2969292523339,64
-7587258.43564787,17588.6184170628,-20.4953691456467,65
-7569690.44379336,17567.9918545084,-20.6265625543892,66
-7552143.27167427,17547.1721190866,-20.8197354217991,67
-7534617.07703908,17526.1946351882,-20.9774838984013,68
-7517112.00294043,17505.0740986587,-21.1205365294591,69
-7499628.25078363,17483.7521568006,-21.3219418581575,70
-7482165.98165696,17462.2691266648,-21.4830301357433,71
-7464725.34191722,17440.6397397425,-21.6293869223446,72
-7447306.53983681,17418.8020804096,-21.8376593329012,73
-7429909.71825889,17396.8215779169,-21.9805024927482,74
-7412535.07953922,17374.6387196686,-22.1828582482412,75
-7395182.79369286,17352.2858463582,-22.3528733104467,76
-7377853.01325884,17329.7804340199,-22.5054123383015,77
-7360545.95312346,17307.0601353804,-22.7202986394987,78
-7343261.76373039,17284.1893930724,-22.8707423079759,79
-7326000.65360701,17261.1101233829,-23.0792696895078,80
-7308762.80039761,17237.8532094024,-23.2569139804691,81
-7291548.36441471,17214.4359828979,-23.4172265045345,82
-7274357.56378978,17190.8006249238,-23.6353579740971,83
-7257190.57969347,17166.984096312,-23.8165286118165,84
-7240047.57618532,17143.0035081534,-23.9805881585926,85
-7222928.77895359,17118.7972317291,-24.2062764242291,86
-7205834.35135003,17094.4276035596,-24.3696281695738,87
-7188764.51213245,17069.8392175818,-24.5883859777823,88
-7171719.45236683,17045.0597656164,-24.7794519653544,89
-7154699.34301157,17020.1093552662,-24.9504103502259,90
-7137704.41702673,16994.9259848343,-25.1833704318851,91
-7120734.84615389,16969.5708728461,-25.3551119882613,92
-7103790.85601544,16943.9901384432,-25.5807344028726,93
-7086872.64600198,16918.210013465,-25.7801249781623,94
-7069980.39571721,16892.2502847631,-25.9597287019715,95
-7053114.3417634,16866.0539538171,-26.1963309459388,96
-7036274.68726558,16839.6544978162,-26.3994560008869,97
-7019461.61605757,16813.0712080095,-26.583289806731,98
-7002675.37293208,16786.2431254908,-26.8280825186521,99
-6985916.14383673,16759.22909535,-27.0140301408246,100
-6969184.16573859,16731.978098141,-27.2509972089902,101
-6952479.65263448,16704.5131041063,-27.4649940347299,102
-6935802.79600764,16676.8566268468,-27.656477259472,103
-6919153.84860675,16648.9474008894,-27.9092259574682,104
-6902533.00559261,16620.8430141378,-28.10438675154,105
