phi_LOS,f_D,f_D_dot,time
-7322298.02585291,6700.68785277102,-59.6129634827375,2
-7315657.10521248,6640.92064043228,-59.7672123387456,3
-7309076.12463046,6580.98058201373,-59.9400584185496,4
-7302555.25682375,6520.86780670751,-60.1127753062174,5
-7296094.65323314,6460.60359061509,-60.2642160924152,6
-7289694.49025221,6400.16298093367,-60.44060968142,7
-7283354.91864879,6339.57160341833,-60.5913775153458,8
-7277076.1049279,6278.81372088473,-60.757882533595,9
-7270858.21717228,6217.88775562216,-60.9259652625769,10
-7264701.4029195,6156.81425277982,-61.0735028423369,11
-7258605.82498701,6095.57793248724,-61.2363202925771,12
-7252571.64834124,6034.17664576974,-61.4012867175043,13
-7246599.01779665,5972.63054459263,-61.5461011771113,14
-7240688.09207203,5910.92572462279,-61.7048199698329,15
-7234839.03313508,5849.05893694703,-61.8667876757681,16
-7229051.98187685,5787.05125822965,-62.0076787173748,17
-7223327.10023883,5724.88163802028,-62.1696202093735,18
-7217664.52984748,5662.57039135415,-62.311246666126,19
-7212064.42197561,5600.10787186958,-62.4625194845721,20
-7206526.93256086,5537.48941474594,-62.6184571236372,21
-7201052.19837574,5474.73418512195,-62.7552296239883,22
-7195640.36678965,5411.83158609271,-62.902599029243,23
-7190291.58977788,5348.77701176796,-63.0545743247494,24
-7185006.00092673,5285.58885114733,-63.1881606206298,25
-7179783.74297936,5222.25794736762,-63.3309037797153,26
-7174624.96422413,5158.77875523828,-63.4791921293363,27
-7169529.79361457,5095.17060955986,-63.6081456784159,28
-7164498.3759562,5031.4176583644,-63.7529511954635,29
-7159530.84175339,4967.5342028141,-63.8834555502981,30
-7154627.32528302,4903.51647037175,-64.0177324423566,31
-7149787.96759034,4839.35769267101,-64.1587777007371,32
-7145012.89280441,4775.07478593662,-64.2829067343846,33
-7140302.23108699,4710.66171742044,-64.4130685161799,34
-7135656.11874779,4646.11233919766,-64.5493782227859,35
-7131074.67620173,4581.44254605751,-64.6697931401432,36
-7126558.02854421,4516.64765752573,-64.7948885317892,37
-7122106.30769601,4451.72084819619,-64.9268093295395,38
-7117719.62894256,4386.67875344865,-65.0420947475359,39
-7113398.11784834,4321.51109421998,-65.1676592286676,40
-7109141.89148082,4256.22636752017,-65.2847266998142,41
-7104951.06564233,4190.82583849318,-65.4005290269852,42
-7100825.76394401,4125.30169831682,-65.5241401763633,43
-7096766.09583716,4059.66810685582,-65.6335914609954,44
-7092772.17277357,3993.92306358367,-65.7450432721525,45
-7088844.11295162,3928.0598219512,-65.863241632469,46
-7084982.02154406,3862.0914075654,-65.968414385803,47
-7081186.00458517,3796.01695888862,-66.0744486767799,48
-7077456.17521357,3729.82937159296,-66.1875872956589,49
-7073792.63311543,3663.54209814593,-66.2872734470293,50
-7070195.4830544,3597.15006102435,-66.3920371215791,51
-7066664.82617163,3530.65688277315,-66.4931782511994,52
-7063200.75860569,3464.06756593939,-66.5893168337643,53
-7059803.38427341,3397.37433227617,-66.6932336632162,54
-7056472.79586891,3330.58840450458,-66.7859277715907,55
-7053209.08489503,3263.71097387746,-66.8774306271225,56
-7050012.34930672,3196.73558831587,-66.9753855615854,57
-7046882.67693886,3129.67236786056,-67.0632204553112,58
-7043820.15366053,3062.52327832859,-67.149089531973,59
-7040824.8715812,2995.28207933065,-67.2411989979446,60
-7037896.91347265,2927.95810854528,-67.3239707853645,61
-7035036.35947806,2860.55399459414,-67.4041139511392,62
-7032243.29590163,2793.06357643008,-67.4904181640595,63
-7029517.79968949,2725.49621213693,-67.5673642931506,64
-7026859.94765776,2657.85203173384,-67.644180403091,65
-7024269.81710547,2590.13055228442,-67.7214794494212,66
-7021747.47786792,2522.33923754934,-67.7913147350773,67
-7019293.00608913,2454.47177878954,-67.8674587598071,68
-7016906.47024787,2386.53584126476,-67.9359375247732,69
-7014587.93512389,2318.5351239806,-68.0007172841579,70
-7012337.47039746,2250.46472642757,-68.0703975530341,71
-7010155.13902733,2182.33137013204,-68.133356295526,72
-7008040.99988372,2114.13914361037,-68.1922265216708,73
-7005995.11639892,2045.88348480035,-68.2556588100269,74
-7004017.5454811,1977.57091781497,-68.3125669853762,75
-7002108.34138792,1909.20409317873,-68.3668246362358,76
-7000267.5601294,1840.7812585244,-68.4228346543387,77
-6998495.25019257,1772.30993682612,-68.4713216982782,78
-6996791.46431531,1703.7858772669,-68.5240595592186,79
-6995156.24992258,1635.21439272724,-68.5714845396578,80
-6993589.65009762,1566.59982495941,-68.6145677678287,81
-6992091.71089354,1497.93920408096,-68.6606208784506,82
-6990662.47376457,1429.23712897021,-68.7020751107484,83
-6989301.97579111,1360.49797345418,-68.7391555160284,84
-6988010.25647956,1291.71931155305,-68.7786619011313,85
-6986787.3510305,1222.90544905793,-68.8138624951243,86
-6985633.29102814,1154.06000236701,-68.845446690917,87
-6984548.10936759,1085.18166054972,-68.878341817297,88
-6983531.8328366,1016.276530982,-68.90512956772,89
-6982584.48991882,947.342917785048,-68.9336131969467,90
-6981706.10553345,878.384385367855,-68.9585324171931,91
-6980896.70074981,809.404783646576,-68.9796017212793,92
