phi_LOS,f_D,f_D_dot,time
-7078916.97006871,10738.5145838149,-52.0742689361796,2
-7068230.78368461,10686.1863840967,-52.3281997181475,3
-7057597.19076909,10633.5929155219,-52.593468574807,4
-7047016.42492555,10580.7658435404,-52.8270719815046,5
-7036488.75123128,10527.6736942697,-53.0921492706984,6
-7026014.42527538,10474.3259559013,-53.3477383684367,7
-7015593.70233123,10420.7229441535,-53.6030117478222,8
-7005226.83823436,10366.8640968669,-53.8588472865522,9
-6994914.08816827,10312.7500660922,-54.1140307746828,10
-6984655.71918717,10258.3689810969,-54.3810849953443,11
-6974451.96732962,10203.7518575471,-54.6171235498041,12
-6964303.09773864,10148.86959098,-54.8822665670887,13
-6954209.36780801,10093.7299306281,-55.1396603519097,14
-6944171.03370411,10038.3341039009,-55.3958267271519,15
-6934188.35235014,9982.68135397416,-55.6527499267831,16
-6924261.57937332,9926.77297681943,-55.9083771547303,17
-6914390.98249442,9870.59687889554,-56.1760979238898,18
-6904576.79946427,9814.18303015176,-56.413848743774,19
-6894819.29446498,9757.50499928743,-56.6780308643356,20
-6885118.72574921,9700.56871577539,-56.936283512041,21
-6875475.34941258,9643.37633662485,-57.1923791505396,22
-6865889.42246063,9585.9269519588,-57.449384666048,23
-6856361.20005775,9528.22240287904,-57.7045490797609,24
-6846890.94939938,9470.2506583631,-57.9717445159331,25
-6837478.90909025,9412.04030913115,-58.2103492319584,26
-6828125.34127311,9353.56781714316,-58.4724919879809,27
-6818830.5039923,9294.83728080522,-58.7305363379419,28
-6809594.6522258,9235.85176650807,-58.9855142971501,29
-6800418.041962,9176.61026379187,-59.241502716206,30
-6791300.92689339,9117.11506861914,-59.4951951727271,31
-6782243.5724288,9057.35446458869,-59.7606040304527,32
-6773246.2170413,8997.35538749211,-59.9990770965815,33
-6764309.1196888,8937.09735250752,-60.2580349845812,34
-6755432.53704308,8876.58264571801,-60.5147067895159,35
-6746616.72182424,8815.81521883421,-60.7674268838018,36
-6737861.92781164,8754.79401260614,-61.0212062280625,37
-6729168.40612423,8693.52168740612,-61.2723252000287,38
-6720536.41905545,8631.98706878349,-61.5346186226234,39
-6711966.20383382,8570.21522162482,-61.7718471586704,40
-6703458.01503731,8508.18879650906,-62.0264251157641,41
-6695012.1066888,8445.90834851656,-62.2804479924962,42
-6686628.72803249,8383.37865630724,-62.5296922093257,43
-6678308.12936898,8320.59866351075,-62.7799927964807,44
-6670050.55803751,8257.57133147214,-63.0273320386186,45
-6661856.27183879,8194.28619871382,-63.2851327583194,46
-6653725.5055121,8130.76632669382,-63.5198720199987,47
-6645658.50804342,8066.99746868387,-63.7688580099493,48
-6637655.5293007,8002.9787427159,-64.018725967966,49
-6629716.81430043,7938.71500027366,-64.2637424422428,50
-6621842.60646284,7874.20783758629,-64.5071626873687,51
-6614033.15849641,7809.4479664294,-64.7598711568862,52
-6606288.70198972,7744.45650669467,-64.9914597347379,53
-6598609.48002953,7679.22196018882,-65.2345465058461,54
-6590995.7380432,7613.74198633246,-65.4799738563597,55
-6583447.71532693,7548.02271626797,-65.7192700644955,56
-6575965.65208865,7482.0632382771,-65.9594779908657,57
-6568549.78519171,7415.86689694505,-66.1963413320482,58
-6561200.36023433,7349.4249573797,-66.4419395653531,59
-6553917.60373929,7282.75649503432,-66.6684623453766,60
-6546701.75073948,7215.85299980734,-66.9034952269867,61
-6539553.03990748,7148.71083200257,-67.1421678047627,62
-6532471.7031915,7081.3367159795,-67.3741160230711,63
-6525457.97329793,7013.72989357542,-67.6068224040791,64
-6518512.07945968,6945.89383825008,-67.8360553253442,65
-6511634.25856954,6877.82089013979,-68.0729481102899,66
-6504824.73060279,6809.52796674427,-68.2929233955219,67
-6498083.72118691,6741.00941587891,-68.5185508653522,68
-6491411.46067527,6672.26051164139,-68.7489042375237,69
-6484808.17221616,6603.28845911287,-68.9720525285229,70
-6478274.0795169,6534.09269926324,-69.1957598496228,71
-6471809.40271789,6464.67679900303,-69.41590026021,72
-6465414.36848586,6395.03423202876,-69.6425669742748,73
-6459089.18868378,6325.17980207969,-69.854429949075,74
-6452834.07817059,6255.11051319074,-70.0692888889462,75
-6446649.25738533,6184.82078526076,-70.2897279299796,76
-6440534.93919835,6114.31818697881,-70.5025982819498,77
-6434491.33679129,6043.60240706522,-70.7157799135894,78
-6428518.65972458,5972.67706671264,-70.92534035258,79
-6422617.12292123,5901.53680335078,-71.1402633618563,80
-6416786.92852168,5830.19439954776,-71.3424038030207,81
-6411028.27926167,5758.64926001243,-71.5451395353302,82
-6405341.3840537,5686.89520796575,-71.7540520466864,83
-6399726.44400152,5614.94005217776,-71.9551557879895,84
-6394183.66023734,5542.78376418073,-72.1562879970297,85
-6388713.2302471,5470.42999024224,-72.3537739384919,86
-6383315.35570501,5397.87454208825,-72.5554481539875,87
-6377990.22740465,5325.12830035668,-72.7462417315692,88
-6372738.03462656,5252.19277809374,-72.9355222629383,89
-6367558.97315047,5179.06147608999,-73.1313020037487,90
-6362453.23084037,5105.74231010396,-73.3191659860313,91
-6357420.99527356,5032.23556680977,-73.5067432941869,92
-6352462.45037867,4958.5448948862,-73.6906719235703,93
-6347577.7831223,4884.66725637391,-73.877638512291,94
-6342767.17133249,4810.6117898114,-74.0554665625095,95
-6338030.78953863,4736.38179385569,-74.2299959557131,96
-6333368.81881933,4661.97071930114,-74.4110745545477,97
-6328781.4323633,4587.38645603228,-74.5842632688582,98
-6324268.8027269,4512.62963639107,-74.7568196412176,99
-6319831.09883807,4437.70388883259,-74.9257475584745,100
-6315468.49155755,4362.60728052165,-75.0966083109379,101
-6311181.14416204,4287.34739551414,-75.2598850075155,102
-6306969.21520178,4211.92896025721,-75.4184352569282,103
-6302832.86954293,4136.34565884992,-75.583301407285,104
-6298772.26431816,4060.60522477143,-75.7404340784997,105
-6294787.55566884,3984.7086493168,-75.8965754546225,106
-6290878.89614069,3908.65952815581,-76.0491211609915,107
-6287046.43917567,3832.45696501993,-76.2025631358847,108
-6283290.33197816,3756.10719750356,-76.3497675163671,109
-6279610.7159671,3679.61601106636,-76.491186437197,110
-6276007.73837361,3602.97759348527,-76.6384175810963,111
-6272481.53898059,3526.19939302187,-76.7782004633918,112
-6269032.25620946,3449.28277113009,-76.9166218917817,113
-6265660.02493038,3372.23127907608,-77.0514920540154,114
-6262364.97996218,3295.04496819898,-77.1863108770922,115
-6259147.25100282,3217.72895936016,-77.3160088388249,116
-6256006.9612948,3140.28970802296,-77.4392513372004,117
-6252944.2391265,3062.72216829844,-77.5675397245213,118
-6249959.20573996,2985.03338653967,-77.6887817587703,119
-6247051.98065069,2907.22508927621,-77.8082972634584,120
-6244222.67987184,2829.30077884439,-77.9243104318157,121
-6241471.41852238,2751.26134946477,-78.0394293796271,122
-6238798.30748248,2673.11103989463,-78.1503095701337,123
-6236203.45089101,2594.85659147613,-78.2544484185055,124
-6233686.95692933,2516.49396167696,-78.3626297991723,125
-6231248.92723592,2438.02969340887,-78.464268268086,126
-6228889.4613702,2359.46586571727,-78.5638276915997,127
-6226608.65544761,2280.80592259578,-78.6599431214854,128
-6224406.60395765,2202.05148996133,-78.7544326344505,129
-6222283.39779922,2123.20615842659,-78.8453315347433,130
-6220239.12122116,2044.27657805849,-78.9295803681016,131
-6218273.86129248,1965.25992867909,-79.0166493793949,132
-6216387.69913704,1886.16215544567,-79.0977732334286,133
-6214580.71347323,1806.98566380143,-79.1764916442335,134
-6212852.97962978,1727.7338434523,-79.2518203491345,135
-6211204.57071319,1648.4089165926,-79.3249268596992,136
-6209635.55664013,1569.01407306176,-79.3948435308412,137
-6208146.00113653,1489.55550359655,-79.4585694652051,138
-6206735.96934894,1410.03178759478,-79.5237160017714,139
-6205405.52113991,1330.44820902869,-79.5835785660893,140
-6204154.71367639,1250.80746351276,-79.6407455159351,141
-6202983.60079708,1171.11287931912,-79.6945841936395,142
-6201892.23364455,1091.36715252884,-79.7457267902792,143
-6200880.66035158,1011.57329296321,-79.7938595656306,144
-6199948.92365752,931.736694062129,-79.8365989010781,145
-6199097.06617437,851.857483148575,-79.8792109135538,146
-6198325.12594152,771.940232850611,-79.9172502979636,147
-6197633.13806367,691.987877850421,-79.9523550001904,148
-6197021.13437171,612.003691960126,-79.9841858902946,149
-6196489.14366782,531.990703891963,-80.0129880681634,150
-6196037.19169776,451.95197006315,-80.0387338288128,151
-6195665.29993083,371.891766922548,-80.0602031406015,152
-6195373.48805516,291.811875673942,-80.0798912486061,153
-6195161.77191957,211.716135586612,-80.0957400873303,154
-6195030.16425899,131.607660581358,-80.1084750052541,155
-6194978.67457233,51.4896866623312,-80.1179739190266,156
-6195007.30911339,-28.6345410626382,-80.1242277249694,157
-6195116.07102573,-108.761912338436,-80.1273712757975,158
-6195304.96021506,-188.889189324342,-80.1272769859061,159
-6195573.97336736,-269.013152305037,-80.1239629806951,160
-6195923.10395666,-349.130589297973,-80.1174369929358,161
-6196352.34227757,-429.238320913166,-80.1077316151932,162
-6196861.67533056,-509.333052988164,-80.0947320749983,163
-6197451.08647046,-589.41113989614,-80.0780869079754,164
-6198120.55751285,-669.471042391844,-80.0599024957046,165
-6198870.06534123,-749.507828384638,-80.0367859927937,166
-6199699.58429804,-829.518956803717,-80.0111284190789,167
-6200609.08548133,-909.501183290035,-79.9822264863178,168
