phi_LOS,f_D,f_D_dot,time
-7015350.6492587,19637.0011280188,-9.42282735183835,2
-6995723.13474284,19627.5145158628,-9.48661215603352,3
-6976105.25042991,19617.8843129352,-9.63020292762667,4
-6956497.06237618,19608.1880537299,-9.69625920522958,5
-6936898.71616929,19598.346206883,-9.84184684697539,6
-6917310.28014055,19588.436028746,-9.91017813701183,7
-6897731.9019867,19578.3781538419,-10.0578749040142,8
-6878163.65234997,19568.2496367367,-10.1285171052441,9
-6858605.68109095,19557.9712590221,-10.2783777145669,10
-6839058.06122999,19547.6198609518,-10.3513980703428,11
-6819520.9448383,19537.1163916914,-10.5034692604095,12
-6799994.40738519,19526.537453115,-10.5789385763928,13
-6780478.60319986,19515.8041853299,-10.73326778505,14
-6760973.61027398,19504.9929258814,-10.8112594485283,15
-6741479.58524313,19494.0250308421,-10.9678950393572,16
-6721996.60869677,19482.9765463592,-11.0484844828025,17
-6702524.83962776,19471.7690690104,-11.2074773488566,18
-6683064.36130019,19460.4783275761,-11.2907414343208,19
-6663615.33511569,19449.0261845002,-11.4521430758759,20
-6644177.84709132,19437.4880243707,-11.5381601294503,21
-6624752.06109449,19425.7859968282,-11.7020275425166,22
-6605338.06597395,19413.9951205403,-11.790876287967,23
-6585936.02811833,19402.0378556168,-11.9572649234906,24
-6566546.0392918,19389.9888265356,-12.0490290811285,25
-6547168.26846251,19377.7708292902,-12.2179972454906,26
-6527802.81039288,19365.4580696272,-12.3127596629784,27
-6508449.83669308,19352.9736997942,-12.4843698330224,28
-6489109.44520921,19340.3914838722,-12.5822159219533,29
-6469781.81025564,19327.6349535743,-12.7565302979201,30
-6450467.03285073,19314.7774049109,-12.8575486633927,31
-6431165.2900789,19301.7427718285,-13.0346330823377,32
-6411876.68621922,19288.6038596798,-13.1389121487737,33
-6392601.40119515,19275.285024072,-13.3188356077299,34
-6373339.5426384,19261.8585567446,-13.426467327401,35
-6354091.29338073,19248.2492576716,-13.6092990729958,36
-6334856.76450114,19234.528879595,-13.7203780766577,37
-6315636.14181272,19220.6226884201,-13.9061911748722,38
-6296429.53993707,19206.6018756432,-14.020812776871,39
-6277237.14774513,19192.3921919409,-14.2096837023273,40
-6258059.08349886,19178.0642462699,-14.3279456710443,41
-6238895.53920457,19163.5442942884,-14.5199519814923,42
-6219746.63686625,19148.9023383223,-14.6419559661299,43
-6200612.57170627,19134.065159983,-14.8371783392504,44
-6181493.46957277,19119.1021335004,-14.9630264826119,45
-6162389.52898874,19103.9405840309,-15.1615494694561,46
-6143300.87975181,19088.649236924,-15.2913471069187,47
-6124227.72377121,19073.1559806075,-15.4932563165203,48
-6105170.19490292,19057.5288682878,-15.627112319693,49
-6086128.49853204,19041.6963708783,-15.8324974095449,50
-6067102.77268255,19025.7258494878,-15.9705213904381,51
-6048093.22630852,19009.5463740323,-16.1794754555449,52
-6029100.00171507,18993.2245934485,-16.3217805838212,53
-6010123.31151983,18976.6901952364,-16.5343982120976,54
-5991163.30242609,18960.00909374,-16.6811014963314,55
-5972220.19081347,18943.1116126264,-16.8974811136723,56
-5953294.12790204,18926.0629114322,-17.048701194115,57
-5934385.33393547,18908.7939665634,-17.2689448688179,58
-5915493.9647712,18891.3691642694,-17.424802294001,59
-5896620.244623,18873.7201482039,-17.649016065523,60
-5877764.33411101,18855.9105119845,-17.8096362194046,61
-5858926.461526,18837.8725850172,-18.0379269672558,62
-5840106.79237894,18819.6691470565,-18.2034379607067,63
-5821305.55915031,18801.2332286341,-18.4359184224159,64
-5802522.93237174,18782.6267785644,-18.6064500696957,65
-5783759.14882914,18763.7835425986,-18.8432359658182,66
-5765014.38420891,18744.7646202371,-19.0189223615453,67
-5746288.87972097,18725.5044879336,-19.2601323034614,68
-5727582.8163441,18706.0633768681,-19.4411110654473,69
-5708896.43983464,18686.3765094653,-19.6868674028665,70
-5690229.9366039,18666.5032307394,-19.8732787258923,71
-5671583.55708173,18646.3795221662,-20.12370857317,72
-5652957.49325602,18626.0638257125,-20.3156964536756,73
-5634352.00035935,18605.4928966714,-20.5709290411323,74
-5615767.27610388,18584.7242554678,-20.7686412036419,75
-5597203.58065967,18563.6954442151,-21.028811252676,76
-5578661.11761334,18542.4630463226,-21.2323978925124,77
-5560140.15221094,18520.9654024029,-21.4976439196616,78
-5541640.89406806,18499.2581428839,-21.7072595190257,79
-5523163.61364771,18477.2804203518,-21.9777225321159,80
-5504708.5267538,18455.0868939012,-22.1935264505446,81
-5486275.90921274,18432.6175410645,-22.4693528367206,82
-5467865.9831773,18409.9260354443,-22.6915056202561,83
-5449479.02998886,18386.9531884324,-22.9728470118716,84
-5431115.27831438,18363.7516744817,-23.201513950713,85
-5412775.01516383,18340.2631505476,-23.4885239340365,86
-5394458.47588916,18316.5392746767,-23.7238758709282,87
