phi_LOS,f_D,f_D_dot,time
-6042649.99777842,11334.0721470509,-64.0558560499921,2
-6031380.35307914,11269.6446992811,-64.4274477697909,3
-6020175.50797206,11204.8451070832,-64.7995921978727,4
-6009035.83545389,11139.6725181639,-65.1725889192894,5
-5997961.69748562,11074.137968271,-65.53454989288,6
-5986953.48989229,11008.207593332,-65.9303749389946,7
-5976011.57638941,10941.9135028794,-66.294090452604,8
-5965136.33131628,10875.2450731313,-66.6684297481552,9
-5954328.12989741,10808.2014188711,-67.0436542602256,10
-5943587.34755734,10740.7823400684,-67.4190788026899,11
-5932914.36008762,10672.9874697151,-67.7948703533038,12
-5922309.54352742,10604.8165602013,-68.1709095137194,13
-5911773.27420963,10536.2693177881,-68.5472424132749,14
-5901305.92844022,10467.3457694156,-68.9235483724624,15
-5890907.8835468,10398.0448934175,-69.3008759981021,16
-5880579.50508921,10328.3784575947,-69.6664358228445,17
-5870321.19015355,10258.3149356553,-70.0635219393298,18
-5860133.30667754,10187.8834760068,-70.4314596485347,19
-5850016.23047647,10117.076201072,-70.8072749348357,20
-5839970.33856019,10045.8919162778,-71.1842847941443,21
-5829996.00746112,9974.33109907527,-71.5608172025532,22
-5820093.61365503,9902.39380609244,-71.9372929828241,23
-5810263.53335301,9830.08030201402,-72.3135040784255,24
-5800506.1426018,9757.39075121097,-72.6895508030429,25
-5790821.8168009,9684.32580090687,-73.0649503041059,26
-5781210.93227665,9610.88452424016,-73.4412766667083,27
-5771673.85320721,9537.07906944491,-73.8054547952488,28
-5762210.9723132,9462.88089401368,-74.1981754312292,29
-5752822.65634642,9388.31596677471,-74.564927238971,30
-5743509.27710729,9313.37923912704,-74.9367276476696,31
-5734271.20775461,9238.06935268268,-75.30988644436,32
-5725108.82023243,9162.38752218429,-75.6818304983899,33
-5716022.48588097,9086.33435145952,-76.0531707247719,34
-5707012.57531992,9009.91056105029,-76.4237904092297,35
-5698079.45794025,8933.11737967189,-76.7931813783944,36
-5689223.50375391,8855.95418633614,-77.1631933357567,37
-5680445.07055189,8778.43320202176,-77.5209843143821,38
-5671744.54149032,8700.52906157076,-77.9041404509917,39
-5663122.27672518,8622.26476513594,-78.2642964348197,40
-5654578.63890275,8543.63782242686,-78.6269427090883,41
-5646113.99203152,8464.64687123336,-78.9909511934966,42
-5637728.69817541,8385.29385610856,-79.3530151247978,43
-5629423.11829216,8305.57988325413,-79.713972854428,44
-5621197.61188571,8225.50640645344,-80.0734768006951,45
-5613052.5371636,8145.07472210377,-80.4316843496636,46
-5604988.25040409,8064.28675950877,-80.7879625950009,47
-5597005.10797157,7983.14243252575,-81.1443269830197,48
-5589103.45416797,7901.65380360093,-81.4886289248243,49
-5581283.65479078,7819.79937718436,-81.8544264165685,50
-5573546.05587048,7737.59892030526,-82.2004568791017,51
-5565891.00323308,7655.05263739452,-82.5462829107419,52
-5558318.84387732,7572.15935575776,-82.8932816367596,53
-5550829.92204684,7488.92183047906,-83.2375252787024,54
-5543424.58021862,7405.34182822146,-83.5800022576004,55
-5536103.15871341,7321.42150521185,-83.9203230096027,56
-5528865.99585214,7237.16286126897,-84.2586439428851,57
-5521713.42732337,7152.56852876954,-84.5943324994296,58
-5514645.78818856,7067.63913481403,-84.9293939555064,59
-5507663.40182613,6982.38636242785,-85.2527723861858,60
-5500766.60897667,6896.79284945969,-85.5935129681602,61
-5493955.7336991,6810.87527757231,-85.9175718873739,62
-5487231.09738615,6724.63631294668,-86.2389646256343,63
-5480593.02221534,6638.07517081499,-86.5611421316862,64
-5474041.82680042,6551.19541492127,-86.8797558937222,65
-5467577.82728515,6463.99951526988,-87.1958996513858,66
-5461201.33692298,6376.49036216363,-87.5091531062499,67
-5454912.66623324,6288.67068974487,-87.8196724187583,68
-5448712.12239885,6200.5438343836,-88.1268553612754,69
-5442600.01113538,6112.11126347631,-88.4325709072873,70
-5436576.62703106,6023.38410431519,-88.7271591611207,71
-5430642.27780422,5934.34922684636,-89.0348774688318,72
-5424797.25732111,5845.0204831101,-89.3287437362596,73
-5419041.85467022,5755.40265088715,-89.6178322229534,74
-5413376.35912824,5665.49554197956,-89.9071089075878,75
-5407801.0556573,5575.30347094033,-90.1920710392296,76
-5402316.22602201,5484.82963528577,-90.4738356545568,77
-5396922.14837269,5394.07764932234,-90.751985963434,78
-5391619.09738955,5303.05098313838,-91.026666183956,79
-5386407.34374199,5211.75364756398,-91.2973355744034,80
-5381287.15572641,5120.18801558111,-91.5656319828704,81
-5376258.79121706,5028.36450935248,-91.8235062286258,82
-5371322.51703374,4936.27418331522,-92.0903260372579,83
-5366478.58863723,4843.92839650717,-92.3457868080586,84
-5361727.25505557,4751.33358166739,-92.5948148397729,85
-5357068.76472226,4658.49033330195,-92.8432483654469,86
-5352503.361094,4565.40362825897,-93.0867050429806,87
-5348031.28372925,4472.07736475114,-93.3262635078281,88
-5343652.76789484,4378.51583440881,-93.5615303423256,89
-5339368.04468778,4284.72320706211,-93.7926273467019,90
-5335177.34058792,4190.70409986284,-94.019107199274,91
-5331080.87878635,4096.46180157084,-94.2422982919961,92
-5327078.87289051,4002.00589583907,-94.4559057317674,93
-5323171.54147164,3907.33141887188,-94.6744769671932,94
-5319359.09382639,3812.44764524978,-94.883773622103,95
-5315641.73171916,3717.36210722476,-95.0855380250141,96
-5312019.65538081,3622.0763383545,-95.2857688702643,97
-5308493.05953914,3526.59584166389,-95.4804966906086,98
-5305062.13438359,3430.92515555769,-95.6706861061975,99
-5301727.06522379,3335.0691597946,-95.8559957630932,100
-5298488.03258799,3239.03263580147,-96.036523993127,101
-5295345.21188046,3142.82070752792,-96.2119282735512,102
-5292298.77435969,3046.43752077222,-96.3831867557019,103
-5289348.88264724,2949.8917124467,-96.5458083255216,104
-5286495.70069856,2853.18194868322,-96.7097637634724,105
-5283739.38482066,2756.31587790325,-96.8660707799718,106
-5281080.08332285,2659.30149781145,-97.0143800918013,107
-5278517.94192387,2562.14139897749,-97.1600988339633,108
-5276053.10049047,2464.84143339563,-97.2999655818567,109
-5273685.69380784,2367.40668263659,-97.4347507590428,110
-5271415.85136817,2269.84243966825,-97.5642429683357,111
-5269243.69721692,2172.15415124875,-97.6882884195074,112
-5267169.35056982,2074.34664710145,-97.8075041472912,113
-5265192.92294868,1976.42762113921,-97.919025962241,114
-5263314.52432453,1878.39862415381,-98.0289969854057,115
-5261534.2580653,1780.26625922509,-98.1323649287224,116
-5259852.2197284,1682.03833689541,-98.2279223296791,117
