phi_LOS,f_D,f_D_dot,time
-6870666.391995,15789.2101713885,-36.0400091074407,2
-6854913.51905494,15752.8729400598,-36.3372313287109,3
-6839197.23512045,15716.2839344861,-36.5890055736527,4
-6823517.80955581,15679.4255646449,-36.8583698412403,5
-6807875.49744808,15642.3121077316,-37.1134569132701,6
-6792270.60276694,15604.8946811361,-37.4174265954643,7
-6776703.38500508,15567.217761864,-37.6769192721695,8
-6761174.12067257,15529.2643325059,-37.95342935808,9
-6745683.0720094,15491.0486631673,-38.2156693385914,10
-6730230.54986293,15452.5221464718,-38.5265166955069,11
-6714816.82149882,15413.7283641081,-38.7937823636457,12
-6699442.17066619,15374.6508326307,-39.0775314774364,13
-6684106.86686631,15335.3037998769,-39.3470327537507,14
-6668811.22786572,15295.6390005937,-39.6647992832586,15
-6653555.52880424,15255.699061485,-39.9399391086772,16
-6638340.06072176,15215.4680824783,-40.2309790067375,17
-6623165.10048984,15174.9602319198,-40.507850558497,18
-6608030.9728156,15134.1276742332,-40.8325576866046,19
-6592937.96080468,15093.0120109227,-41.1156633105129,20
-6577886.36280236,15051.5980023192,-41.4140086034313,21
-6562876.46324223,15009.899560133,-41.6984421862289,22
-6547908.59338006,14967.8698621662,-42.0296979667619,23
-6532983.04592313,14925.547456936,-42.3224052302539,24
-6518100.1088672,14882.9370559305,-42.6104010054842,25
-6503260.11964467,14839.9892225321,-42.947833398357,26
-6488463.37527245,14796.7443722105,-43.2448503216729,27
-6473710.18704914,14753.1882233182,-43.5561488922685,28
-6459000.85250082,14709.334548315,-43.8536750031635,29
-6444335.71544648,14665.13705434,-44.1974939750507,30
-6429715.08114886,14620.6342976196,-44.5027567204088,31
-6415139.26822291,14575.8129259478,-44.8213716717437,32
-6400608.58180993,14530.6864129854,-45.1265129623935,33
-6386123.37262336,14485.2091865689,-45.4772264165804,34
-6371683.95402835,14439.4185950076,-45.7905915612355,35
-6357290.65196859,14393.3020597585,-46.1165352491662,36
-6342943.77919994,14346.8727686554,-46.4292911030352,37
-6328643.69327822,14300.0859217141,-46.786846941337,38
-6314390.71564534,14252.977632883,-47.1082888310775,39
-6300185.17952792,14205.5361174233,-47.4415154596791,40
-6286027.40527981,14157.7742481073,-47.7618693159893,41
-6271917.7572129,14109.6480669128,-48.1261811945587,42
-6257856.5648046,14061.1924083019,-48.4556586109102,43
-6243844.1684843,14012.3963202946,-48.7960880072787,44
-6229880.89615906,13963.2723252382,-49.1239950563759,45
-6215967.11879005,13913.7773690084,-49.4949562298134,46
-6202103.17381946,13863.9449705919,-49.8323984164745,47
-6188289.40872901,13813.7650904497,-50.1798801422119,48
-6174526.15908745,13763.2496415647,-50.5154488850385,49
-6160813.80167193,13712.3574155159,-50.8922260487452,50
-6147152.68440053,13661.1172714056,-51.2401441102847,51
-6133543.14384743,13609.5405530948,-51.5767183108255,52
-6119985.5634422,13557.5804052316,-51.960147863254,53
-6106480.29392168,13505.2695205174,-52.3108847141266,54
-6093027.69498679,13452.5989348944,-52.670585623011,55
-6079628.11479549,13399.5801912975,-53.018743596971,56
-6066281.94180232,13346.1729931692,-53.4071981282905,57
-6052989.53462295,13292.4071793761,-53.7658137930557,58
-6039751.25952066,13238.2751022885,-54.1320770876482,59
-6026567.4717593,13183.7877613613,-54.487340927124,60
-6013438.56575633,13128.9060029685,-54.8817583927885,61
-6000364.90746853,13073.6582877943,-55.2477151742205,62
-5987346.86957647,13018.0378920585,-55.6203957358375,63
-5974384.81421056,12962.0553659117,-55.9825261468068,64
-5961479.14148592,12905.6727246456,-56.3826412661001,65
-5948630.22444086,12848.9170450578,-56.7556795878336,66
-5935838.44189756,12791.7825433016,-57.1345017561689,67
-5923104.16259344,12734.2793041179,-57.5032391836867,68
-5910427.79202963,12676.3705638098,-57.9087403081357,69
-5897809.710031,12618.0819986304,-58.2885651793331,70
-5885250.30119199,12559.4088390106,-58.6731596197933,71
-5872749.94075589,12500.3604360968,-59.0484029138461,72
-5860309.03846773,12440.902288164,-59.4581479327753,73
-5847927.98354676,12381.0549209686,-59.8473671954125,74
-5835607.14942427,12320.8341224873,-60.2207984812558,75
-5823346.95177443,12260.1976498421,-60.6364726452157,76
-5811147.78093275,12199.170841679,-61.0268081631511,77
-5799010.0309659,12137.7499668533,-61.4208748256788,78
-5786934.08699843,12075.9439674634,-61.8059993898496,79
-5774920.36740136,12013.7195970714,-62.2243703920394,80
-5762969.2686164,11951.0987849655,-62.6208121059462,81
-5751081.18930284,11888.0793135576,-63.019471407868,82
-5739256.5198007,11824.66950214,-63.4098114175722,83
-5727495.68229163,11760.8375090668,-63.831993073225,84
-5715799.07838262,11696.6039090166,-64.233600050211,85
-5704167.11094219,11631.9674404282,-64.6364685883746,86
-5692600.17498864,11566.9359535519,-65.0314868763089,87
-5681098.6959802,11501.4790084334,-65.4569451184943,88
-5669663.08012658,11435.6158536226,-65.8631548108533,89
-5658293.73395037,11369.3461762136,-66.2696774089709,90
-5646991.05658194,11302.6773684267,-66.6688077868894,91
-5635755.4761589,11235.5804230366,-67.0969453901052,92
-5624587.40288691,11168.0732719982,-67.5071510383859,93
-5613487.24627218,11100.1566147283,-67.9166572699323,94
-5602455.40914036,11031.8371318132,-68.3194829151034,95
-5591492.32088362,10963.0882567465,-68.748875066638,96
-5580598.39791062,10893.9229730023,-69.1652837442234,97
-5569774.03769116,10824.3602194572,-69.5627535451204,98
-5559019.67335759,10754.3643335653,-69.9958858918399,99
-5548335.71987432,10683.953483277,-70.4108502883464,100
-5537722.59061034,10613.1292639729,-70.8242193041369,101
-5527180.69256019,10541.8980501564,-71.2312138164416,102
-5516710.45771738,10470.2348428033,-71.6632073530927,103
-5506312.303511,10398.154206383,-72.0806364202872,104
-5495986.64422339,10325.6592876147,-72.4949187682942,105
-5485733.88833626,10252.7558871293,-72.9034004854038,106
-5475554.46777242,10179.4205638394,-73.3353232899681,107
-5465448.80106156,10105.6667108573,-73.753852982074,108
-5455417.30270085,10031.498360713,-74.1683501442894,109
-5445460.38176427,9956.92093657888,-74.5774241341278,110
-5435578.46924254,9881.91252172273,-75.0084148561582,111
-5425771.9838459,9806.48539664969,-75.427125073038,112
-5416041.33939076,9730.64445513114,-75.8409415185452,113
-5406386.94462334,9654.39476742875,-76.249687702395,114
-5396809.22867503,9577.71594830137,-76.6788191273808,115
-5387308.60945443,9500.61922059953,-77.0967277018353,116
-5377885.4991446,9423.11030982994,-77.5089107695967,117
-5368540.30518362,9345.19396098237,-77.9163488475606,118
-5359273.45385237,9266.8513312526,-78.3426297297701,119
-5350085.36123247,9188.09261990059,-78.7587113520131,120
-5340976.43681533,9108.92441714089,-79.168202759698,121
-5331947.08586449,9029.35095083527,-79.573466305621,122
-5322997.73012352,8949.35574096814,-79.9952098671347,123
-5314128.78516109,8868.94496243261,-80.41077853553,124
-5305340.64578147,8788.13937961869,-80.8055828139186,125
-5296633.73271954,8706.9130619308,-81.2263176878914,126
-5288008.45561487,8625.27710467391,-81.6359572568908,127
-5279465.21692664,8543.23868822493,-82.0384164489806,128
-5271004.41492434,8460.80200230051,-82.4366859244183,129
-5262626.46255927,8377.95236507524,-82.8496372252703,130
-5254331.76500311,8294.69755615387,-83.2548089213669,131
-5246120.71888002,8211.04612308927,-83.6514330646023,132
-5237993.71700952,8127.00187049992,-84.044252589345,133
-5229951.16532995,8042.55167957395,-84.4501909259707,134
-5221993.46278389,7957.70254605915,-84.8491335147992,135
-5214120.99910438,7872.46367951017,-85.2388665489852,136
-5206334.16039217,7786.83871220704,-85.6249673031271,137
-5198633.34437138,7700.81602079701,-86.0226914100349,138
-5191018.94246939,7614.40190198552,-86.4141188114882,139
-5183491.33629534,7527.60617405362,-86.7957279318944,140
-5176050.9039637,7440.43233164027,-87.1738424133509,141
-5168698.03373568,7352.87022801396,-87.5621036263183,142
-5161433.10821655,7264.92551913299,-87.9447088809684,143
-5154256.49959059,7176.6086259596,-88.3168931733817,144
-5147168.57681722,7087.92277337424,-88.6858525853604,145
-5140169.71693677,6998.85988044366,-89.0628929305822,146
-5133260.29418933,6909.4227474425,-89.4371330011636,147
-5126440.66232481,6819.63186452352,-89.7908829189837,148
-5119711.19174214,6729.47058266681,-90.1612818567082,149
-5113072.24585753,6638.94588461425,-90.5246980525553,150
-5106524.17747744,6548.06838008482,-90.8775045294315,151
-5100067.33594701,6456.84153043106,-91.2268496537581,152
-5093702.07690825,6365.25903876498,-91.5824916660786,153
-5087428.75167675,6273.32523149997,-91.9338072650135,154
-5081247.69996811,6181.05170863587,-92.2735228640959,155
-5075159.2582007,6088.44176740944,-92.6099412264302,156
-5069163.76770351,5995.49049718957,-92.9512702198699,157
-5063261.56584769,5902.20185582153,-93.288641368039,158
-5057452.97807097,5808.58777671959,-93.6140791019425,159
-5051738.32648957,5714.65158140287,-93.9361953167245,160
-5046117.93683477,5620.38965479471,-94.2619266081601,161
-5040592.13115693,5525.80567783862,-94.5839769560844,162
-5035161.21932094,5430.91183599364,-94.8938418449834,163
-5029825.50780863,5335.71151230671,-95.200323686935,164
-5024585.30547258,5240.20233605523,-95.5091762514785,165
-5019440.91770002,5144.38777255546,-95.8145634997636,166
-5014392.6374806,5048.28021942545,-96.1075531300157,167
-5009440.75443532,4951.88304527849,-96.3971741469577,168
-5004585.55898754,4855.19544777926,-96.687597499229,169
-4999827.33966008,4758.21932746284,-96.9761203164235,170
-4995166.36671476,4660.97294531949,-97.2463821433485,171
-4990602.91782963,4563.4488851279,-97.5240601915866,172
-4986137.26569455,4465.652135076,-97.7967500519007,173
-4981769.67095805,4367.59473650623,-98.0573985697702,174
-4977500.390446,4269.28051204514,-98.3142244610935,175
-4973329.68029413,4170.71015187539,-98.570360169746,176
-4969257.7933489,4071.88694522344,-98.8232066519558,177
-4965284.97000077,3972.82334812824,-99.0635970951989,178
-4961411.44677547,3873.52322530653,-99.3001228217036,179
-4957637.45847919,3773.98829628062,-99.5349290259182,180
-4953963.23657855,3674.22190063354,-99.7663956470788,181
-4950389.00020611,3574.23637244571,-99.9855281878263,182
-4946914.96444299,3474.03576312028,-100.200609325431,183
-4943541.34173212,3373.62271087058,-100.4130522497,184
