phi_LOS,f_D,f_D_dot,time
-7537698.30279567,20333.0013423804,-8.3594741281122,2
-7517373.79452299,20324.5082726786,-8.49306970182806,3
-7497057.83228289,20315.9622400943,-8.54603258427233,4
-7476750.55133959,20307.280943308,-8.68129678629339,5
-7456452.0066303,20298.5447092857,-8.73623402230442,6
-7436162.33518317,20289.671447129,-8.87326215673238,7
-7415881.59389892,20280.7412842531,-8.93016287591308,8
-7395609.92163608,20271.6722628381,-9.06902141496539,9
-7375347.37730784,20262.5443282379,-9.12793460022658,10
-7355094.10164163,20253.2756662089,-9.26866202894598,11
-7334850.15562143,20243.9460201981,-9.32964601088315,12
-7314615.6818824,20234.4737390392,-9.47228115890175,13
-7294390.74354132,20224.9383410802,-9.53539795894176,14
-7274175.4851787,20215.2583626145,-9.67997846566141,15
-7253969.97210752,20205.5130711775,-9.74529143702239,16
-7233774.35089617,20195.621211349,-9.89185982849449,17
-7213588.6891156,20185.6617805706,-9.95943077839911,18
-7193413.13536204,20175.5537535651,-10.1080270055681,19
-7173247.75953389,20165.3758281525,-10.1779254125431,20
-7153092.71230047,20155.047233413,-10.3285947395489,21
-7132948.06594988,20144.6463505896,-10.4008828233927,22
-7112813.97327032,20134.0926795667,-10.5536710228771,23
-7092690.50901081,20123.4642595062,-10.6284200605005,24
-7072577.82812499,20112.6808858216,-10.7833736846223,25
-7052476.00789139,20101.8202335965,-10.8606522250921,26
-7032385.20547808,20090.802413309,-11.0178202874959,27
-7012305.50076583,20079.704712254,-11.0977010549977,28
-6992237.05318687,20068.447578961,-11.2571332929656,29
-6972179.94529733,20057.1078895349,-11.3396894261241,30
-6952134.33884652,20045.6064508166,-11.5014387182891,31
-6932100.31913992,20034.0197065966,-11.586744219996,32
-6912078.05029897,20022.2688409537,-11.7508656429127,33
-6892067.62045501,20010.4298439603,-11.8389969933778,34
-6872069.19615832,19998.4242966911,-12.0055472692475,35
-6852082.86844345,19986.3277148623,-12.0965818287805,36
-6832108.80634814,19974.0620953143,-12.2656195480376,37
-6812147.10389057,19961.702457564,-12.3596377503127,38
-6792197.93265564,19949.1712349365,-12.5312226274982,39
-6772261.38972794,19936.5429276936,-12.6283072428778,40
-6752337.64930179,19923.7404261585,-12.8025015350431,41
-6732426.81161372,19910.8376880698,-12.9027380887419,42
-6712529.05352033,19897.758093385,-13.0795946847647,43
-6692644.47854676,19884.5749735711,-13.1831198139116,44
-6672773.26608417,19871.2124625919,-13.3625109791756,45
-6652915.5237707,19857.7423134651,-13.4701491268352,46
-6633071.43080751,19844.0929631889,-13.6493502762169,47
-6613241.12326391,19830.3075436046,-13.7854195842519,48
-6593424.72276181,19816.4005020987,-13.9070415059105,49
-6573622.42086641,19802.3018954024,-14.0986066963524,50
-6553834.33176518,19788.0891012298,-14.2127941725776,51
-6534060.64559355,19773.6861716332,-14.4029295966029,52
-6514301.48138974,19759.1642038012,-14.5219678319991,53
-6494557.03203321,19744.4493565354,-14.7148472657427,54
-6474827.42039526,19729.6116379453,-14.8377185901627,55
-6455112.84248746,19714.5779078053,-15.0337301399559,56
-6435413.42502997,19699.4174574865,-15.1604503188282,57
-6415729.36727111,19684.0577588603,-15.3596986262128,58
-6396060.79987625,19668.5673948647,-15.4903639955446,59
-6376407.92541934,19652.874456902,-15.6929379627109,60
-6356770.87861468,19637.0468046656,-15.8276522364467,61
-6337149.8654512,19621.013163479,-16.0336411865428,62
-6317545.02479909,19604.8406521091,-16.1725113699213,63
-6297956.56615398,19588.4586451072,-16.3820070018992,64
-6278384.63265227,19571.9335017102,-16.5251433970407,65
-6258829.43739104,19555.1952612288,-16.7382404813543,66
-6239291.12788398,19538.3095070673,-16.8857541615143,67
-6219769.920929,19521.2069549775,-17.1025520898402,68
-6200265.96853248,19503.9523965167,-17.2545584607869,69
-6180779.491294,19486.4772384865,-17.4751580301672,70
-6161310.64583036,19468.8454636326,-17.631774853915,71
-6141859.65664647,19450.9891838906,-17.8562797419727,72
-6122426.68509114,19432.9715553336,-18.0176285570487,73
-6103011.95968137,19414.7254097704,-18.2461455632001,74
-6083615.64662295,19396.3130584173,-18.412351353094,75
-6064237.97855587,19377.6680670818,-18.6449913354591,76
-6044879.12666882,19358.8518870492,-18.8161800326779,77
-6025539.32783816,19339.7988306573,-19.0530563918874,78
-6006218.75836707,19320.5694710976,-19.2293595597148,79
-5986917.65948716,19301.0988799036,-19.4705911939964,80
-5967636.21274658,19281.4467405872,-19.652139316313,81
-5948374.66385297,19261.5488936035,-19.8978469837457,82
-5929133.19973865,19241.4641143214,-20.0847792821005,83
-5909912.07071227,19221.1290263822,-20.3350879391655,84
-5890711.46922705,19200.6014852198,-20.5275411624461,85
-5871531.65032181,19179.8189052353,-20.7825799845159,86
-5852372.81211592,19158.8382058898,-20.9806993454695,87
-5833235.21450964,19137.597606279,-21.2405996108428,88
-5814119.061435,19116.1530746482,-21.4445316307247,89
-5795024.61778837,19094.4436466256,-21.7094280226156,90
-5775952.09346979,19072.5243185814,-21.9193280441687,91
-5756901.75849172,19050.3349780738,-22.1893405076116,92
-5737873.82895684,19027.9295348767,-22.4054431971163,93
-5718868.57983125,19005.2491255896,-22.6804092871025,94
-5699886.23471811,18982.3451131433,-22.9040124462917,95
-5680927.06941393,18959.1653041719,-23.1798089714721,96
-5661991.33960725,18935.729806684,-23.4354974878952,97
-5643079.273446,18912.0661612544,-23.6636454295367,98
-5624191.17030144,18888.1031445535,-23.9630167009309,99
-5605327.26615745,18863.9041439937,-24.1990005597472,100
-5586487.85674112,18839.4094163273,-24.4947276664898,101
-5567673.18738919,18814.6693519279,-24.7400643993169,102
-5548883.55913093,18789.6282582656,-25.0410936623812,103
-5530119.22451443,18764.3346164981,-25.2936417674646,104
-5511380.49066699,18738.7338474402,-25.6007690578699,105
-5492667.61735696,18712.8733100286,-25.8605374116451,106
-5473980.9180268,18686.6993301604,-26.173979868181,107
-5455320.65983344,18660.2581933597,-26.441136800684,108
-5436687.16271312,18633.4971203189,-26.761073040776,109
-5418080.70139829,18606.46131483,-27.0358054889366,110
-5399501.60249909,18579.0988992034,-27.3624156266451,111
-5380950.14851449,18551.4539845986,-27.6449146047235,112
-5362426.67291044,18523.4756040489,-27.9783805496991,113
-5343931.46614634,18495.206764102,-28.268839946948,114
-5325464.86873574,18466.5974106016,-28.6093535004184,115
-5307027.17929615,18437.6894395864,-28.9079710152,116
-5288618.74557991,18408.4337162431,-29.2557233432308,117
-5270239.87456544,18378.8710144637,-29.5627017794177,118
-5251890.92144321,18348.9531222349,-29.917892228812,119
-5233572.20175847,18318.7196847396,-30.2334374953061,120
-5215284.07833879,18288.1234196806,-30.5962650589645,121
-5197026.87550885,18257.202829943,-30.9205897375941,122
-5178800.96394098,18225.9115678696,-31.2912620734423,123
-5160606.67695116,18194.2869898211,-31.6245780484751,124
-5142444.39326798,18162.2836831743,-32.0033066468313,125
-5124314.4554171,18129.9378508832,-32.3458322910592,126
-5106217.25039666,18097.2050204417,-32.7328304415569,127
-5088153.13016453,18064.1202321285,-33.0847883131355,128
-5070122.49020937,18030.6399551565,-33.4802769720554,129
-5052125.6921453,17996.7980640726,-33.8418910838664,130
-5034163.14017234,17962.5519729555,-34.2460911171511,131
-5016235.20579268,17927.934379667,-34.6175932884216,132
-4998342.3021443,17892.9036483774,-35.0307312896475,133
-4980484.81084928,17857.4912950154,-35.4123533619568,134
-4962663.15421499,17821.6566342898,-35.8346607256681,135
-4944877.72421828,17785.4299967103,-36.2266375795007,136
-4927128.9525684,17748.7716498785,-36.6583468317986,137
-4909417.24184418,17711.7107242243,-37.0609256541356,138
-4891743.03337139,17674.2084727855,-37.5022514387965,139
-4874106.74065605,17636.2927153483,-37.9157574372366,140
-4856508.81455941,17597.9260966321,-38.366618716158,141
-4838949.68096306,17559.1335963551,-38.7925002770498,142
-4821429.79602175,17519.8849413125,-39.2486550426111,143
-4803949.61973795,17480.1762837935,-39.7086575189605,144
-4786509.57718089,17440.0425570635,-40.1337267300114,145
-4769110.15993438,17399.4172465103,-40.6253105532378,146
-4751751.81754096,17358.3423934206,-41.0748530896381,147
-4734435.03876564,17316.7787753223,-41.5636180983856,148
-4717160.28855878,17274.7502068533,-42.0285684689879,149
-4699928.06575131,17232.2228074716,-42.5273993816227,150
-4682738.84774949,17189.2180018257,-43.0048056459054,151
-4665593.14456706,17145.7031824263,-43.5148193994537,152
-4648491.44608347,17101.6984835938,-44.0046988325194,153
-4631434.27381263,17057.1722708344,-44.526212759316,154
-4614422.1303453,17012.143467336,-45.0288034984842,155
-4597455.54895357,16966.581391721,-45.5620756149292,156
-4580535.04518806,16920.5037655141,-46.0776262069121,157
-4563661.1643338,16873.8808542555,-46.6229112586007,158
-4546834.4351544,16826.7291794075,-47.1516748480499,159
-4530055.41519992,16779.0199544728,-47.7092249346897,160
-4513324.64669596,16730.7685039667,-48.251450506039,161
-4496642.69970872,16681.9469872396,-48.8215167270973,162
-4480010.13017031,16632.5695384117,-49.3774488279596,163
-4463427.52091471,16582.6092555923,-49.9602828193456,164
-4446895.44182587,16532.0790888406,-50.5301667517051,165
-4430414.48874877,16480.9530770984,-51.1260117422789,166
-4413985.24575715,16429.2429916272,-51.7100854711607,167
-4397608.32194878,16376.9238083651,-52.3191832620651,168
-4381284.31582318,16324.006125601,-52.9176827641204,169
-4365013.84996797,16270.4658552129,-53.5402703881264,170
-4348797.53753467,16216.3124333015,-54.153421911411,171
-4332636.01483067,16161.5227039959,-54.789729305543,172
-4316529.90987993,16106.1049507409,-55.4177532549948,173
-4300479.87293419,16050.0369457444,-56.0680049965158,174
-4284486.54710217,15993.3258320158,-56.7111137285829,175
-4268550.59679206,15935.9503101083,-57.3755219075829,176
-4252672.68039956,15877.9163925024,-58.0339176058769,177
-4236853.47669682,15819.2037027376,-58.7126897647977,178
-4221093.65955717,15759.817139647,-59.3865630906075,179
-4205393.92230739,15699.7372497823,-60.0798898646608,180
-4189754.95447695,15638.9678304456,-60.7694193366915,181
-4174177.46413038,15577.4903465719,-61.4774838737212,182
-4158662.15661713,15515.3075132454,-62.1828333265148,183
-4143209.75490385,15452.4017132814,-62.9057999639772,184
-4127820.98030843,15388.7745954152,-63.6271178661846,185
-4112496.57084895,15324.4094594833,-64.3651359318756,186
-4097237.26394816,15259.3069007937,-65.1025586896576,187
-4082043.81278874,15193.4511594176,-65.8557413760573,188
-4066916.97107868,15126.8417100604,-66.60944935726,189
-4051857.50701154,15059.4640671383,-67.3776429221034,190
-4036866.1916591,14991.3153524445,-68.1487146937288,191
-4021943.80464141,14922.3870176813,-68.9283347632736,192
-4007091.15032021,14852.6543212063,-69.7326964749955,193
-3992308.99763222,14782.1526879864,-70.5016332198866,194
-3977598.17023274,14710.8273994816,-71.3252885048278,195
-3962959.47498162,14638.6952511217,-72.1321483599022,196
-3948393.73555526,14565.7394263609,-72.9558247607201,197
-3933901.77896963,14491.9565856233,-73.7828407376073,198
-3919484.44339108,14417.3355785552,-74.6210070680827,199
-3905142.5724791,14341.8709119745,-75.4646665807813,200
-3890877.0197903,14265.5526888007,-76.3182231737301,201
-3876688.64530672,14188.3744835802,-77.1782052204944,202
-3862578.3179685,14110.3273382187,-78.0471453615464,203
-3848546.91395422,14031.4040142857,-78.9233239330351,204
-3834595.31748412,13951.5964701003,-79.8075441853143,205
-3820724.42078411,13870.8967000088,-80.6997700915672,206
-3806935.1232051,13789.2975790063,-81.5991210024804,207
-3793228.33282838,13706.7903767247,-82.5072022816166,208
-3779604.96394036,13623.3688880233,-83.4214887013659,209
-3766065.94024418,13539.0236961734,-84.3451918498613,210
-3752612.19072201,13453.7495221761,-85.2741739973426,211
-3739244.65441057,13367.5363114346,-86.2132107415237,212
-3725964.2746974,13280.3797131726,-87.1565982620232,213
-3712772.00561883,13192.2690785681,-88.1106346044689,214
-3699668.80462548,13103.2009933461,-89.0680852220394,215
-3686655.64035819,13013.1642672918,-90.0367260542698,216
-3673733.48393326,12922.1564249303,-91.0078423614614,217
-3660903.31814818,12830.165785084,-91.9906398463063,218
-3648166.12732691,12737.1908212691,-92.9749638149515,219
-3635522.90791279,12643.2194141159,-93.971407153178,220
-3622974.65691939,12548.2509933994,-94.9684207164682,221
-3610522.38385898,12452.2730604094,-95.977932990063,222
-3598167.09785292,12355.2860060618,-96.9870543475263,223
-3585909.82084263,12257.2770102951,-98.0089957667515,224
-3573751.57340402,12158.2474386105,-99.029571684543,225
-3561693.38919466,12058.1842093547,-100.063229255844,226
-3549736.29952529,11957.089669372,-101.094539982732,227
-3537881.34898511,11854.950540184,-102.139129187912,228
-3526129.57882549,11751.7701596129,-103.180380571168,229
-3514482.04370848,11647.5351170106,-104.235042602289,230
-3502939.79395478,11542.2497537029,-105.285363307688,231
-3491503.89336128,11435.9005934955,-106.349160207435,232
-3480175.40037159,11328.4929896998,-107.40760379564,233
-3468955.38690483,11220.0134667549,-108.479522944894,234
-3457844.91848518,11110.4684196496,-109.54504710529,235
-3446845.07409749,10999.8443876863,-110.624031963293,236
-3435956.9250816,10888.14901589,-111.695371796377,237
-3425181.55690022,10775.3681813851,-112.780834504869,238
-3414520.04331096,10661.5135892597,-113.854592125397,239
-3403973.48390009,10546.5594108705,-114.954178389162,240
-3393542.94447551,10430.5394245824,-116.019986288156,241
-3383229.5201389,10313.4243366043,-117.115087978076,242
-3373034.30134839,10195.2187905167,-118.205546087585,243
-3362958.3714941,10075.9298542812,-119.288936235476,244
-3353002.825028,9955.54646610655,-120.383388174698,245
-3343168.74450609,9834.08052190859,-121.46594419796,246
-3333457.22406691,9711.52043918148,-122.560082727112,247
-3323869.34459665,9587.87947025569,-123.640968925785,248
-3314406.19807379,9463.14652285865,-124.732947397046,249
-3305068.86211826,9337.33595552947,-125.810567329172,250
-3295858.42480782,9210.43731044699,-126.898645082489,251
-3286775.95876414,9082.46604367951,-127.971266767476,252
-3277822.5463559,8953.41240823688,-129.053635442629,253
